developer_id,total_activities,avg_minutes_per_module,lifecycle_days,weekend_ratio,study_time_category,night_study_ratio,login_gap_std,total_completed,total_active_days,completion_velocity,avg_rating,acceptance_rate,learner_persona,persona_label
"1,202,367",69,56.3768115942029,1109,0.21739130434782608,0,0.2753623188405797,263.09626157956495,69,9,7.666666666666667,0.4043478260869565,0.0,2,The Sprinter
"1,319,457",194,144.9020618556701,23,0.4793814432989691,0,0.13917525773195877,2.9202359113225387,194,10,19.4,3.0444444444444443,0.0,2,The Sprinter
"1,776,122",106,16.10377358490566,1096,0.22641509433962265,1,0.07547169811320754,228.38480286967032,106,12,8.833333333333334,1.0,0.0,2,The Sprinter
"102,556",84,93.6547619047619,2204,0.3333333333333333,0,0.40476190476190477,249.4015841922991,84,24,3.5,2.335526315789474,0.0,2,The Sprinter
"11,836",91,126.08791208791209,758,0.46153846153846156,3,0.21978021978021978,245.9003500258939,91,9,10.11111111111111,2.25,0.0,2,The Sprinter
"110,119",20,76.15,2183,0.05,2,0.5,1518.1582592075176,20,3,6.666666666666667,2.5,0.0,2,The Sprinter
"113,842",9,153.44444444444446,3,0.0,0,0.1111111111111111,1.4142135623730951,9,3,3.0,2.371794871794872,0.0,2,The Sprinter
"153,116",79,293.65822784810126,2195,0.3670886075949367,3,0.4936708860759494,392.4239969810631,79,15,5.266666666666667,1.6590909090909092,0.0,2,The Sprinter
"17,833",51,52.3921568627451,2194,0.47058823529411764,1,0.21568627450980393,884.9415046581705,51,7,7.285714285714286,3.0779220779220777,0.0,2,The Sprinter
"2,131,303",106,50.990566037735846,1100,0.3490566037735849,0,0.20754716981132076,150.29898773539932,106,15,7.066666666666666,2.3793103448275863,0.0,2,The Sprinter
